,title,date,place,price,start_date,end_date,url,description
1,こどもダンスワークショップ,2021年7月29日(木)～8月9日(月),千葉市文化センター第2リハーサル室,"有料。3,000円",2021-07-29,2021-08-09,https://www.f-cp.jp/CulturePF/lecture/lecture_view_detail.php?REG_ID=458,元ブレイクダンス世界チャンピオンのISOPPと一緒にみんなで「熱く」「楽しく」「笑顔」でダンスしてみない？ 全3回の練習後、最終日に保護者にむけて成果を発表する！ 対象は、小学3年生～高校生。応募方法についてはHPを確認しよう。
2,仙台シアターラボ公演「ペスト」（延期公演）,2021年6月19日(土)・20日(日),SUBTERRANEAN,"有料。応援チケット：5,000円　一般前売：3,000円・当日3,500円　学生前売：2,000円・当日2,500円（当日要学生証） 高校生以下：無料（要学生証・各回申込先着3名）",2021-06-19,2021-06-20,http://s-theatrelabo.jimdo.com/,男たちのコロナ禍での日常が、永久に終わらない「あの時」と交差するとき、歴史上で生産され続けた「終わらない感染症」が現代に蘇る。
3,キプスダンスシアター第1回公演,2021年7月24日(土),相模女子大学グリーンホール　多目的ホール,"有料。入場料：3,500円",2021-07-24,2021-07-24,https://dance.kipus-ballet.com/,キプスダンスシアターは、2021年より、新しく活動を開始し、相模原「キプスバレエスタジオ」を母体とした、クラシック・コンテンポラリーの垣根を超えた作品を相模原から発信・紹介・活動していく団体。現代の舞踊シーンに見合った、踊りの幅を持った舞台人の育成と文化に対する理解を広げる主旨でキプスダンスシアターは発足された。この度、第1回オープン公演が開催される。
4,としまアート夏まつり2021「絵本のじかんだよ！」,2021年7月27日(火)・28日(水),あうるすぽっと,"有料。おとな（18歳以上）2,500円　中高生1,000円　子ども（3歳～小学生）500円　障害者割引2,200円　※2歳の子どもに限り保護者膝上鑑賞無料・席が必要な場合は有料",2021-07-27,2021-07-28,https://www.owlspot.jp/events/performance/post_214.html,あうるすぽっと夏恒例の人気企画！ 2年ぶり！ とびきり楽しい絵本のじかん！ 大きなスクリーンに映る絵本の前で顕作さんが表情豊かに読むおはなしは、子どもも大人もドキドキ・ワクワクすること間違いなし！ どんな絵本を読むのかは、劇場に来てからのお楽しみ。 ※0歳～1歳の子どもの入場不可
5,プーク人形劇場誕生50周年記念公演『オカピぼうやのちいさなぼうけん』『がんばれローラーくん』,2021年7月3日(土)～8月10日(火),プーク人形劇場,"有料。一般3,190円、友の会2,530円、友の会同伴2,860円、65歳以上2,090円、団体（15名以上）2,090円　※3歳以上均一　税込",2021-07-03,2021-08-10,https://puk.jp/okapiroller/,誕生50周年を迎えるプーク人形劇場。記念公演として届けるのは新作『オカピぼうやのちいさなぼうけん』。出版社のひさかたチャイルドと長年温めてきた企画で、秋には絵本も出版予定！ プーク発の絵本が出版に先立ち人形劇化。ある日お母さんとはぐれたオカピぼうやは、ひとりで探しにでかける。そこで出会うのは、みんなどこか似ているけれど、全然違う動物たちで…。『がんばれローラーくん』との二本立て公演。
6,パフォーマンスキッズ・トーキョー　ダンスワークショップ＆公演「おしゃべりなからだたち」,2021年8月15日(日)～29日(日),瑞穂ビューパーク・スカイホール　大ホール,入場無料。参加無料,2021-08-15,2021-08-29,https://www.children-art.net/pkt-mizuho2021-kodomo/,ダンスや演劇のプロのアーティストを学校やホールに派遣、ワークショップを行い、子どもたちが主役のオリジナルの舞台作品をつくる「パフォーマンスキッズ・トーキョー」。瑞穂ビューパーク・スカイホールでは、ダンサー・俳優の辻田暁さんと一緒にワークショップを通じてオリジナルのダンス作品を創作し、最終日には関係者に向けた限定公開の発表公演を行う。新型コロナウイルス対策を講じたうえで実施。
7,ロシア･バレエ･ガラ2021（昌賢学園まえばしホール）,2021年8月28日(土),昌賢学園まえばしホール（前橋市民文化会館）大ホール,"有料。6,500円（全席指定）",2021-08-28,2021-08-28,https://www.koransha.com/ballet/rossiangala/,バレエの名場面ばかりをハイライトで上演する人気公演！ バレエ大国ロシアを代表する5つのバレエ劇場、マリインスキー、ボリショイ、ミハイロフスキー、モスクワ音楽劇場、ペルミ・バレエより実力派ソリストが集結。ロシア・バレエの伝統美をカンパニーの枠を越えた競演で贈る贅沢な公演。4才以上入場可能なので、小さな子どもも一緒に、美しいバレエの世界を楽しむことができる。　※3歳以下入場不可
8,子どもと大人のためのダンス　日本昔ばなしのダンス,2021年7月3日(土),草加市文化会館ホール,"有料。一般2,500円、こども（3歳～中学生）1,500円、ペア1組3,500円（一般1枚＋こども1枚） ※全席指定",2021-07-03,2021-07-03,http://soka-bunka.jp/,日本の昔ばなしをダンスで仕立て上げるこのシリーズは、ダンスに加えて影絵や小道具の仕掛けがたっぷり！ 言葉だけではないノンバーバルな表現にも注目。子どもも大人もわくわくできちゃう。振付・演出を担当するのは現代ダンス界で活躍するユニークな振付家、学ラン姿で有名なダンスカンパニー「コンドルズ」主宰、彩の国さいたま芸術劇場次期芸術監督に就任した近藤良平と、今注目の「マグナム☆マダム」主宰の山口夏絵。
9,「挑む岡本太郎」展関連イベント「生命の挑み」,2021年7月4日(日),川崎市岡本太郎美術館　企画展示室内　母の塔前広場,要入館料,2021-07-04,2021-07-04,https://www.taromuseum.jp/,「挑む 岡本太郎」展関連イベントとして、舞踊家のATSUSHIが岡本太郎の作品に挑む。
0,第14回　子ども乙女文楽教室,2021年7月28日(水)～8月22日(日),ひとみ座スタジオ,入場無料。,2021-07-28,2021-08-22,http://www.puppet.or.jp/,毎年夏休みに実施している乙女文楽教室。対象は小学校高学年から高校生。伝統人形芝居「乙女文楽」の稽古をし、最後に発表会でその成果を発表する。ひとみ座のプロの人形遣いが講師を担当し、少人数でじっくり学べる。日本の伝統的な所作を身に着けて、本格的な人形操作を楽しく学ぼう！ 問合せ、申込みは、電話（平日10時～18時）もしくはメールにて受付。
1,serialnumber06「hedge1-2-3」,2021年7月8日(木)～19日(月),あうるすぽっと,"有料。一般6,000円、障害者3,000円、学生4,000円",2021-07-08,2021-07-19,https://serialnumber.jp/,日本初のバイアウト・ファンド、マチュリティ・パートナーズの創設と挫折。つきまとう苦悩の中、信用を取り戻すため奔走する金融マンたちの姿を通じ、誰もが経済とは無関係ではいられない。2021年の私たちの目指すべき場所を問いかける。詩森ろばの金融三部作、ついに完結。そして、一挙上演。
2,第12回ジャパン・インターナショナル・ユース・バレエ公演,2021年7月18日(日),たましんRISURUホール（立川市市民会館）大ホール,"有料。全席指定S席3,500円　A席3,000円　B席2,500円",2021-07-18,2021-07-18,https://www.tachikawa-chiikibunka.or.jp/a12-20210718/,ゲストに国内外で活躍する日本人のプリンス、プリンシパル等を招いて「パキータ」、そして家族で楽しめる「子鹿物語」を上演する。主催：ジャパン・インターナショナル・ユース・バレエ、共催：（公財）立川市地域文化振興財団
3,OriTahitiParty8/Dance！Dance！OriJapan1st,2021年8月29日(日),関内ホール　小ホール,入場無料。入場無料　全席自由,2021-08-29,2021-08-29,https://www.kannaihall.jp,ポリネシアの伝統文化”タヒチ””ハワイ”の音楽と踊りを贈る。ポリネシア文化を楽しもう。要事前申込。
